provincia,capital,tasa_actividad,tasa_paro,tasa_empleo,num_empleos
A Coruña,A Coruña,53.86,10.92,47.98,1466
Albacete,Albacete,58.07,12.41,50.86,532
Alicante/Alacant,Alicante/Alacant,57.08,14.13,49.01,1773
Almería,Almería,61.31,15.39,51.87,655
Araba/Álava,Vitoria-Gasteiz,57.62,9.42,52.19,777
Asturias,Oviedo,48.86,11.36,43.31,929
Ávila,Ávila,52.78,14.86,44.94,374
Badajoz,Badajoz,56.60,16.14,47.46,534
Barcelona,Barcelona,61.29,9.18,55.67,11030
Bizkaia,Bilbao,56.71,9.28,51.45,1671
Burgos,Burgos,58.94,9.70,53.23,677
Cáceres,Cáceres,54.28,17.78,44.63,452
Cádiz,Cádiz,55.05,21.70,43.10,804
Cantabria,Santander,54.81,8.17,50.33,817
Castellón/Castelló,Castellón de la Plana,57.36,10.55,51.31,929
Ceuta,Ceuta,60.44,22.75,46.69,329
Ciudad Real,Ciudad Real,55.64,17.10,46.12,496
Córdoba,Córdoba,55.02,20.67,43.64,562
Cuenca,Cuenca,56.94,10.77,50.81,329
Gipuzkoa,Donostia/San Sebastián,53.53,7.53,49.50,1194
Girona,Girona,63.76,8.26,58.49,1248
Granada,Granada,58.31,22.18,45.37,697
Guadalajara,Guadalajara,62.89,11.65,55.57,663
Huelva,Huelva,56.77,12.24,49.83,472
Huesca,Huesca,57.78,10.87,51.50,526
Illes Balears,Palma,65.42,9.29,59.34,1924
Jaén,Jaén,52.28,19.64,42.01,479
La Rioja,Logroño,60.27,10.19,54.13,677
Las Palmas,Las Palmas de Gran Canaria,60.59,18.06,49.65,1044
León,León,53.21,10.62,47.56,660
Lleida,Lleida,60.66,10.30,54.42,796
Lugo,Lugo,52.39,8.99,47.69,523
Madrid,Madrid,63.79,10.18,57.29,13139
Málaga,Málaga,56.97,17.76,46.85,1851
Melilla,Melilla,63.11,24.66,47.55,331
Murcia,Murcia,59.93,12.18,52.63,1164
Navarra,Pamplona/Iruña,58.70,8.76,53.56,1155
Ourense,Ourense,48.99,10.84,43.68,471
Palencia,Palencia,55.84,10.52,49.97,442
Pontevedra,Pontevedra,53.96,12.41,47.26,1021
Salamanca,Salamanca,55.83,10.30,50.08,538
Santa Cruz de Tenerife,Santa Cruz de Tenerife,57.67,17.43,47.62,972
Segovia,Segovia,59.18,7.74,54.60,427
Sevilla,Sevilla,57.59,17.89,47.29,1717
Soria,Soria,60.40,7.32,55.98,393
Tarragona,Tarragona,56.53,10.63,50.52,1234
Teruel,Teruel,57.96,9.07,52.70,425
Toledo,Toledo,62.04,14.93,52.77,789
Valencia/València,Valencia,59.18,12.36,51.87,3312
Valladolid,Valladolid,54.49,9.35,49.39,947
Zamora,Zamora,50.28,12.10,44.20,388
Zaragoza,Zaragoza,59.30,8.50,54.26,1632