provincia,capital,num_empleos
Álava,Vitoria-Gasteiz,777
Albacete,Albacete,532
Alicante,Alicante/Alacant,1773
Almería,Almería,655
Asturias,Oviedo,929
Ávila,Ávila,374
Badajoz,Badajoz,534
Illes Balears,Palma,1924
Barcelona,Barcelona,11030
Burgos,Burgos,677
Cáceres,Cáceres,452
Cádiz,Cádiz,804
Cantabria,Santander,817
Castellón,Castellón de la Plana,929
Ciudad Real,Ciudad Real,496
Córdoba,Córdoba,562
A Coruña,A Coruña,1466
Cuenca,Cuenca,329
Girona,Girona,1248
Granada,Granada,697
Guadalajara,Guadalajara,663
Gipuzkoa,Donostia/San Sebastián,1194
Huelva,Huelva,472
Huesca,Huesca,526
Jaén,Jaén,479
León,León,660
Lleida,Lleida,796
Lugo,Lugo,523
Madrid,Madrid,13139
Málaga,Málaga,1851
Murcia,Murcia,1164
Navarra,Pamplona/Iruña,1155
Ourense,Ourense,471
Palencia,Palencia,442
Las Palmas,Las Palmas de Gran Canaria,1044
Pontevedra,Pontevedra,1021
La Rioja,Logroño,677
Salamanca,Salamanca,538
Segovia,Segovia,427
Sevilla,Sevilla,1717
Soria,Soria,393
Tarragona,Tarragona,1234
Santa Cruz de Tenerife,Santa Cruz de Tenerife,972
Teruel,Teruel,425
Toledo,Toledo,789
Valencia,Valencia,3312
Valladolid,Valladolid,947
Bizkaia,Bilbao,1671
Zamora,Zamora,388
Zaragoza,Zaragoza,1632
Ceuta,Ceuta,329
Melilla,Melilla,331