provincia,tasa_actividad,tasa_paro,tasa_empleo
Albacete,58.07,12.41,50.86
Alicante/Alacant,57.08,14.13,49.01
Almería,61.31,15.39,51.87
Araba/Álava,57.62,9.42,52.19
Asturias,48.86,11.36,43.31
Ávila,52.78,14.86,44.94
Badajoz,56.60,16.14,47.46
Illes Balears,65.42,9.29,59.34
Barcelona,61.29,9.18,55.67
Bizkaia,56.71,9.28,51.45
Burgos,58.94,9.70,53.23
Cáceres,54.28,17.78,44.63
Cádiz,55.05,21.70,43.10
Cantabria,54.81,8.17,50.33
Castellón/Castelló,57.36,10.55,51.31
Ciudad Real,55.64,17.10,46.12
Córdoba,55.02,20.67,43.64
A Coruña,53.86,10.92,47.98
Cuenca,56.94,10.77,50.81
Gipuzkoa,53.53,7.53,49.50
Girona,63.76,8.26,58.49
Granada,58.31,22.18,45.37
Guadalajara,62.89,11.65,55.57
Huelva,56.77,12.24,49.83
Huesca,57.78,10.87,51.50
Jaén,52.28,19.64,42.01
León,53.21,10.62,47.56
Lleida,60.66,10.30,54.42
Lugo,52.39,8.99,47.69
Madrid,63.79,10.18,57.29
Málaga,56.97,17.76,46.85
Murcia,59.93,12.18,52.63
Navarra,58.70,8.76,53.56
Ourense,48.99,10.84,43.68
Palencia,55.84,10.52,49.97
Las Palmas,60.59,18.06,49.65
Pontevedra,53.96,12.41,47.26
La Rioja,60.27,10.19,54.13
Salamanca,55.83,10.30,50.08
Santa Cruz de Tenerife,57.67,17.43,47.62
Segovia,59.18,7.74,54.60
Sevilla,57.59,17.89,47.29
Soria,60.40,7.32,55.98
Tarragona,56.53,10.63,50.52
Teruel,57.96,9.07,52.70
Toledo,62.04,14.93,52.77
Valencia/València,59.18,12.36,51.87
Valladolid,54.49,9.35,49.39
Zamora,50.28,12.10,44.20
Zaragoza,59.30,8.50,54.26
Ceuta,60.44,22.75,46.69
Melilla,63.11,24.66,47.55