provincia,capital,comunidad_autonoma
Álava,Vitoria-Gasteiz,País Vasco
Albacete,Albacete,Castilla-La Mancha
Alicante,Alicante/Alacant,Comunidad Valenciana
Almería,Almería,Andalucía
Asturias,Oviedo,Principado de Asturias
Ávila,Ávila,Castilla y León
Badajoz,Badajoz,Extremadura
Illes Balears,Palma,Islas Baleares
Barcelona,Barcelona,Cataluña
Burgos,Burgos,Castilla y León
Cáceres,Cáceres,Extremadura
Cádiz,Cádiz,Andalucía
Cantabria,Santander,Cantabria
Castellón,Castellón de la Plana,Comunidad Valenciana
Ciudad Real,Ciudad Real,Castilla-La Mancha
Córdoba,Córdoba,Andalucía
A Coruña,A Coruña,Galicia
Cuenca,Cuenca,Castilla-La Mancha
Girona,Girona,Cataluña
Granada,Granada,Andalucía
Guadalajara,Guadalajara,Castilla-La Mancha
Gipuzkoa,Donostia/San Sebastián,País Vasco
Huelva,Huelva,Andalucía
Huesca,Huesca,Aragón
Jaén,Jaén,Andalucía
León,León,Castilla y León
Lleida,Lleida,Cataluña
Lugo,Lugo,Galicia
Madrid,Madrid,Comunidad de Madrid
Málaga,Málaga,Andalucía
Murcia,Murcia,Región de Murcia
Navarra,Pamplona/Iruña,Comunidad Foral de Navarra
Ourense,Ourense,Galicia
Palencia,Palencia,Castilla y León
Las Palmas,Las Palmas de Gran Canaria,Islas Canarias
Pontevedra,Pontevedra,Galicia
La Rioja,Logroño,La Rioja
Salamanca,Salamanca,Castilla y León
Segovia,Segovia,Castilla y León
Sevilla,Sevilla,Andalucía
Soria,Soria,Castilla y León
Tarragona,Tarragona,Cataluña
Santa Cruz de Tenerife,Santa Cruz de Tenerife,Islas Canarias
Teruel,Teruel,Aragón
Toledo,Toledo,Castilla-La Mancha
Valencia,Valencia,Comunidad Valenciana
Valladolid,Valladolid,Castilla y León
Bizkaia,Bilbao,País Vasco
Zamora,Zamora,Castilla y León
Zaragoza,Zaragoza,Aragón
Ceuta,Ceuta,Ceuta
Melilla,Melilla,Melilla