municipio,renta_bruta_media_corregida,codigo_ine
Alegría-Dulantzi,15991,01001
Amurrio,38831,01002
Aramaio,12826,01003
Artziniega,17062,01004
Armiñón,60018,01006
Arratzua-Ubarrundia,28920,01008
Asparrena,85402,01009
Ayala/Aiara,23775,01010
Baños de Ebro/Mañueta,43286,01011
Barrundia,15890,01013
Berantevilla,181134,01014
Bernedo,105134,01016
Campezo/Kanpezu,25105,01017
Zigoitia,40981,01018
Kripan,19418,01019
Kuartango,15052,01020
Elburgo/Burgelu,20728,01021
Elciego,72504,01022
Elvillar/Bilar,37593,01023
Iruraiz-Gauna,19757,01027
Labastida/Bastida,35904,01028
Lagrán,23618,01030
Laguardia,129801,01031
Lanciego/Lantziego,56134,01032
Lapuebla de Labarca,46325,01033
Leza,19968,01034
Laudio/Llodio,38001,01036
Arraia-Maeztu,27582,01037
Moreda de Álava/Moreda Araba,23245,01039
Navaridas,35438,01041
Okondo,26339,01042
Oyón-Oion,63710,01043
Peñacerrada-Urizaharra,19135,01044
Erriberagoitia/Ribera Alta,18065,01046
Erriberabeitia,18065,01047
Añana,34897,01049
Agurain/Salvatierra,33210,01051
Samaniego,79050,01052
San Millán/Donemiliaga,34008,01053
Urkabustaiz,18398,01054
Valdegovía/Gaubea,23343,01055
Harana/Valle de Arana,28004,01056
Villabuena de Álava/Eskuernaga,106386,01057
Legutio,144347,01058
Vitoria-Gasteiz,37322,01059
Yécora/Iekora,36008,01060
Zalduondo,12755,01061
Zambrana,13660,01062
Zuia,21516,01063
Iruña Oka/Iruña de Oca,42457,01901
Lantarón,84626,01902
Abaltzisketa,23417,20001
Aduna,161029,20002
Aizarnazabal,77159,20003
Albiztur,38790,20004
Alegia,25168,20005
Alkiza,13905,20006
Altzo,87348,20007
Amezketa,67654,20008
Andoain,34399,20009
Anoeta,34346,20010
Antzuola,36098,20011
Arama,224340,20012
Aretxabaleta,32202,20013
Asteasu,81462,20014
Ataun,12447,20015
Aia,38828,20016
Azkoitia,33239,20017
Azpeitia,35571,20018
Beasain,64305,20019
Beizama,22869,20020
Belauntza,93081,20021
Berastegi,29734,20022
Berrobi,14362,20023
Bidania-Goiatz,19490,20024
Zegama,18706,20025
Zerain,25815,20026
Zestoa,42672,20027
Zizurkil,32334,20028
Deba,44233,20029
Eibar,27680,20030
Elduain,31854,20031
Elgoibar,46810,20032
Elgeta,54249,20033
Eskoriatza,39050,20034
Ezkio-Itsaso,86269,20035
Hondarribia,29796,20036
Gaintza,14769,20037
Gabiria,27059,20038
Getaria,45296,20039
Hernani,45590,20040
Hernialde,14344,20041
Ibarra,33522,20042
Idiazabal,54116,20043
Ikaztegieta,65373,20044
Irun,31569,20045
Irura,71698,20046
Itsasondo,36154,20047
Larraul,33145,20048
Lazkao,24962,20049
Leaburu,37639,20050
Legazpi,28493,20051
Legorreta,34524,20052
Lezo,43315,20053
Lizartza,37347,20054
Arrasate/Mondragón,44527,20055
Mutriku,17003,20056
Mutiloa,27047,20057
Olaberria,305677,20058
Oñati,55227,20059
Orexa,28167,20060
Orio,18133,20061
Ormaiztegi,116709,20062
Oiartzun,62890,20063
Pasaia,19413,20064
Soraluze-Placencia de las Armas,22946,20065
Errezil,40885,20066
Errenteria,21020,20067
Leintz-Gatzaga,13603,20068
Donostia/San Sebastián,43603,20069
Segura,14738,20070
Tolosa,25133,20071
Urnieta,42266,20072
Usurbil,53730,20073
Bergara,34744,20074
Villabona,22215,20075
Ordizia,23931,20076
Urretxu,22838,20077
Zaldibia,19170,20078
Zarautz,29151,20079
Zumarraga,22857,20080
Zumaia,35276,20081
Mendaro,75595,20901
Lasarte-Oria,25263,20902
Astigarraga,53413,20903
Baliarrain,20089,20904
Orendain,22222,20905
Altzaga,14124,20906
Gaztelu,10353,20907
Abadiño,81360,48001
Abanto y Ciérvana-Abanto Zierbena,34702,48002
Amorebieta-Etxano,58464,48003
Amoroto,56801,48004
Arakaldo,27935,48005
Arantzazu,15308,48006
Munitibar-Arbatzegi Gerrikaitz,18808,48007
Artzentales,18331,48008
Arrankudiaga,57861,48009
Arrieta,15547,48010
Arrigorriaga,30634,48011
Bakio,21306,48012
Barakaldo,25031,48013
Barrika,16112,48014
Basauri,32005,48015
Berango,19117,48016
Bermeo,29382,48017
Berriatua,81841,48018
Berriz,39127,48019
Bilbao,36177,48020
Busturia,17802,48021
Karrantza Harana/Valle de Carranza,20489,48022
Artea,62519,48023
Zeanuri,20002,48024
Zeberio,17840,48025
Dima,17126,48026
Durango,23498,48027
Ea,23266,48028
Etxebarri,31007,48029
Etxebarria,130901,48030
Elantxobe,13992,48031
Elorrio,37619,48032
Ereño,14804,48033
Ermua,22732,48034
Fruiz,10488,48035
Galdakao,34317,48036
Galdames,23306,48037
Gamiz-Fika,14849,48038
Garai,19435,48039
Gatika,28938,48040
Gautegiz Arteaga,13042,48041
Gordexola,26750,48042
Gorliz,19568,48043
Getxo,21929,48044
Güeñes,23079,48045
Gernika-Lumo,25236,48046
Gizaburuaga,78829,48047
Ibarrangelu,24021,48048
Ispaster,14035,48049
Izurtza,122156,48050
Lanestosa,17594,48051
Larrabetzu,52090,48052
Laukiz,15904,48053
Leioa,50828,48054
Lemoa,35077,48055
Lemoiz,15165,48056
Lekeitio,16565,48057
Mallabia,149051,48058
Mañaria,31593,48059
Markina-Xemein,24994,48060
Maruri-Jatabe,21869,48061
Mendata,11823,48062
Mendexa,20019,48063
Meñaka,20779,48064
Ugao-Miraballes,21315,48065
Morga,24167,48066
Muxika,30895,48067
Mundaka,24366,48068
Mungia,39134,48069
Aulesti,21714,48070
Muskiz,80790,48071
Otxandio,18876,48072
Ondarroa,22383,48073
Urduña/Orduña,15366,48074
Orozko,96546,48075
Sukarrieta,34084,48076
Plentzia,16467,48077
Portugalete,16497,48078
Errigoiti,13951,48079
Valle de Trápaga-Trapagaran,59127,48080
Lezama,56868,48081
Santurtzi,21904,48082
Ortuella,30480,48083
Sestao,19259,48084
Sopela,21025,48085
Sopuerta,19729,48086
Trucios-Turtzioz,17554,48087
Ubide,10637,48088
Urduliz,48605,48089
Balmaseda,19126,48090
Atxondo,73192,48091
Bedia,53165,48092
Areatza,12966,48093
Igorre,47996,48094
Zaldibar,41771,48095
Zalla,20274,48096
Zaratamo,58597,48097
Derio,140223,48901
Erandio,45108,48902
Loiu,225513,48903
Sondika,59355,48904
Zamudio,530327,48905
Forua,17010,48906
Kortezubi,15852,48907
Murueta,25172,48908
Nabarniz,18686,48909
Iurreta,82778,48910
Ajangiz,229615,48911
Alonsotegi,29523,48912
Zierbena,155946,48913
Arratzu,22332,48914
Ziortza-Bolibar,11840,48915