provincia,capital,precio_m2_venta,precio_medio_venta,precio_m2_alquiler,precio_medio_alquiler
Álava,Vitoria-Gasteiz,2564,242404,12,986
Albacete,Albacete,1300,152281,7,659
Alicante,Alicante/Alacant,1663,176931,9,845
Almería,Almería,1168,109377,8,668
Asturias,Oviedo,1568,139373,9,672
Ávila,Ávila,1022,99417,6,520
Badajoz,Badajoz,1149,126096,7,530
Illes Balears,Palma,3139,358810,14,1392
Barcelona,Barcelona,2946,272259,16,1367
Burgos,Burgos,1445,138383,8,633
Cáceres,Cáceres,1132,119586,6,497
Cádiz,Cádiz,1593,158397,9,712
Cantabria,Santander,1737,156073,11,881
Castellón,Castellón de la Plana,1133,115966,8,653
Ciudad Real,Ciudad Real,936,96893,5,461
Córdoba,Córdoba,1405,141657,7,645
A Coruña,A Coruña,1583,156959,8,666
Cuenca,Cuenca,1139,119313,8,608
Girona,Girona,2169,193575,11,941
Granada,Granada,1691,181669,8,760
Guadalajara,Guadalajara,1372,146012,8,691
Gipuzkoa,Donostia/San Sebastián,3234,289436,16,1275
Huelva,Huelva,1299,122249,10,761
Huesca,Huesca,1513,123979,8,636
Jaén,Jaén,989,105216,6,496
León,León,1237,130467,6,586
Lleida,Lleida,1159,114344,7,654
Lugo,Lugo,1159,119979,7,588
Madrid,Madrid,3314,343514,16,1414
Málaga,Málaga,2630,301594,11,1055
Murcia,Murcia,1148,119550,9,792
Navarra,Pamplona/Iruña,1691,164441,10,981
Ourense,Ourense,1434,156580,6,564
Palencia,Palencia,1352,128845,7,499
Las Palmas,Las Palmas de Gran Canaria,1743,159907,11,830
Pontevedra,Pontevedra,1893,193302,9,818
La Rioja,Logroño,1457,148105,8,703
Salamanca,Salamanca,1673,156058,9,801
Segovia,Segovia,1329,133270,9,790
Sevilla,Sevilla,1611,162042,10,821
Soria,Soria,1288,129163,7,604
Tarragona,Tarragona,1552,140182,9,736
Santa Cruz de Tenerife,Santa Cruz de Tenerife,1906,174893,10,793
Teruel,Teruel,1068,103002,6,501
Toledo,Toledo,1023,103420,7,582
Valencia,Valencia,1445,163450,11,1042
Valladolid,Valladolid,1497,151208,8,668
Bizkaia,Bilbao,2853,269369,13,1124
Zamora,Zamora,1151,118790,5,497
Zaragoza,Zaragoza,1674,154117,9,720
Ceuta,Ceuta,1965,191007,11,786
Melilla,Melilla,2035,191581,10,717